id_livre,id_auteur
563820,57189
16077954,6519108
18076876,223343
35487055,6461519
1060439,7294
10915691,4665259
6234910,823146
5755,3915
784848,5073
1381691,393138
7824314,2172337
22217702,8179815
55022,7031
30437,6218
11230,7287
16158611,153738
16166080,6586254
6318238,2869203
13517617,3131761
15451058,57108
3430897,1435883
206472,15804
25622782,4194881
296384,1455604
33727,19005
122967,6378
28735,8685
346272,198623
9738582,71688
251665,28244
10867,7103
14280,6410
164221,22602
6920820,3095878
449017,706620
22107044,7074846
951749,5376
263149,17059
16174176,760524
17231976,4330590
16099159,6459302
18485973,4882127
17032328,3112212
17560674,4882127
1967070,38328
57045,989968
107105,18327
45432,10896
123632,38285
6327801,49177
6533687,2956016
347151,199175
8572704,374429
12710096,4062698
142181,23419
2873007,5813022
444347,86085
41822,16667
9260518,153738
17165932,4027380
29036,16328
626186,67810
494304,43970
24847,13996
11045709,972440
17305041,4318269
27152124,7059622
359194,124526
6509143,17082
16320,123715
2734278,15952
33418,18800
7863163,410993
18623052,3425403
52367,15085
761154,25375
17978160,6553850
911579,12076
1017971,1256582
330721,27847
843989,575
5554803,16202
59807,625
11978910,63898
714571,57462
96472,14078
529701,10356
11185432,4807573
10116927,142462
16069262,6549512
18952341,2917920
10907,7127
20663749,11783
10838776,767317
43799,17553
43717,12772
6933138,3100202
607559,329391
2017717,1402383
17607319,6436698
296570,171184
95141,54751
41536,23417
7252,4852
11834447,87305
904488,33031
7455,4415
3477698,61859
10109,6583
16139641,6574132
175626,62257
508903,21625
1559633,7259226
125965,72451
24235463,6446815
150253,59712
595586,5116
895479,13072
16041169,6538202
17529,8105
458003,625
25190,437669
1022376,4183
18467802,117786
123031,70906
133937,4229
21491,12465
11378402,4949972
193093,112477
102458,10182
827685,84278
11044367,4774653
108137,7440
6537,1025097
15701217,2508
17306969,5784542
20980373,6518370
7741856,3378915
17469800,6443115
16131601,6538202
52042,29365
93996,30702
308581,32005
5633958,1112218
2715,1847
18472710,6456709
423245,2644993
508388,283031
4496091,1875994
345660,28544
7105,4778
710826,6218
157687,153341
4859743,2022437
290369,4862
135048,50416
2989344,966321
7779757,2041855
182496,10209
104106,48913
58,24
639197,344618
351461,26875
938105,82608
12964250,4602925
9776876,4475986
6440071,2919206
181086,105562
11813450,4975888
6033480,359194
12204117,5019751
41457,23356
13412018,5445209
13372959,5430253
12567090,5188441
13143456,1111602
3284192,1391437
13182986,5374565
10809019,4719619
11698943,4432824
8089607,3501390
613605,83937
163677,95013
13452847,5625059
10211494,438483
11942639,257934
10900053,537990
12339830,5121644
479519,102967
15705572,5823058
11718466,5001654
748862,3495853
13576438,5779328
8240188,1687270
15980748,6517460
8376729,4061922
17303541,3301336
35156,11735
7077917,3148560
16008616,5815513
15803757,317354
17399863,6082024
16150740,6580037
16152057,6153801
336518,9876
15811102,15463
12439950,5154098
16125520,6571021
762732,25890
17873881,7072888
7685281,3319050
321353,1637418
17984619,7105888
15796469,6458922
18040004,7122185
4366431,229517
321459,42378
18213325,7112966
8887183,4200652
10852343,4735144
18772075,7237845
17872528,2654606
17900221,7082224
18755640,6857154
7743783,3379564
9999795,4530313
18702030,7083697
20693377,7336499
4015864,73187
19365485,7535683
10158656,4567126
32289,187
19139026,7353474
22012747,8179036
87564,50303
16058610,161149
18667769,7341041
14760527,46474
17571569,8030427
12853426,5268666
6562748,240840
15744141,51118
12730666,1214140
11389398,996558
417656,8835
21882327,8133574
18465591,7258893
489972,77098
15721051,6462059
16002136,61382
24522888,8154595
769443,12758
13360957,5425858
17660979,3203095
24307444,8422979
18002681,6451816
17161185,6861797
17373314,4334648
22878967,8427407
23870514,8151452
15832350,5176055
18806259,7391763
17835727,14507930
25539647,13984955
25832342,14137019
12157407,5267376
22809818,6474993
16406114,6691397
23622600,8305735
13450398,4750818
18488433,7267262
18634859,61015
26861818,7397563
514771,181668
17302559,15890
23578,13311
17564246,5349971
25064648,6567825
18103276,6534195
34209372,14537381
32485744,14206027
34845079,16484850
28956867,13583042
30340276,8316649
15717298,335532
29546259,804168
34748077,4596718
35034369,15193340
38227140,4725624
36793989,6534710
25692886,6904806
35407312,16953774
40113250,15683552
17333180,21748
31207572,7429243
41562587,18332475
32928987,16062789
35297380,6610348
25264909,1633234
13553217,588558
440777,16902
22628234,7977202
20517739,6580285
17302571,6911915
21428094,7056935
586732,319770
4476999,1868743
17998741,7181038
28107444,620872
37539001,14584166
23163343,7149925
29102841,14157664
29430012,4536964
34857255,16722065
3345951,73777
151755,87712
1862313,16481
91001,52285
201642,83937
904965,175203
6213703,237997
468488,262549
92581,9465
2288200,257934
6614154,2985555
1704719,784866
329326,161399
7492383,81096
7861169,489970
47906,26878
9403048,1569666
1316382,5656153
551876,46204
10836748,4668756
315578,2939184
9581507,29471
2842796,274667
6970490,456208
11557282,2964069
3525895,1489978
12789642,4839848
29015,11646
7199829,18967
944555,217735
8579486,174586
7151711,2833211
232577,136081
3564825,1508588
7977037,191456
67880,9016
13502238,5181752
603204,1785
12988004,833687
54209,19109
12732267,5235670
7205214,3174636
8582356,4119134
15738256,5298385
16059057,6545102
16180723,5698327
287380,166635
6056287,1248068
36347162,18819
825419,169954
15832231,420047
6905480,3090287
15810471,6463048
18002005,7112966
17400970,6431156
12451769,3340475
91017,52292
21911024,6200344
17277854,5806018
13144229,37249
18335916,7223602
12092005,2937053
18799225,7388591
891593,8730
19068786,7341481
18809474,7203641
19507801,6994731
21971980,6868657
1283619,1001895
679702,294697
21915383,7809260
3472820,1463436
16030663,253358
6011949,16625
6850768,2936248
16067008,4011455
19214578,7496678
15780279,269342
17258293,5771850
18460726,6445292
325661,16147
404874,68536
3761596,86003
18008080,7115378
13628172,164187
23317538,162578
24466484,8107261
313159,146783
16093761,8201104
47122,3472
18518269,7141792
29962194,5045068
5181,3521
11103746,4789680
23009011,8473856
30213217,11680644
22889766,8435477
18263530,895265
619962,335181
18044412,5895680
67464,209576
7962312,129676
35356380,16527452
3394,2313
101911,58843
24485589,4615776
35512560,16979140
23160974,8526768
21524446,7418796
81042,46138
30237061,15269309
10340846,568672
31408829,7210024
414692,32638
229033,133908
4313522,702360
3217673,660996
123544,5293
43401,24401
41701,18411
270367,157676
1689657,47834
