id_livre,id_award,date
19095025,12,2014-01-01
18108281,12,2014-01-01
5598113,12,2009-01-01
20603820,12,2014-01-01
12042279,12,2012-01-01
17156015,12,2013-01-01
6660747,12,2010-01-01
18104607,12,2014-01-01
17880714,12,2014-01-01
41957126,12,2019-01-01
6337006,12,2010-01-01
12647642,12,2012-01-01
8038219,12,2011-01-01
22895264,12,2015-01-01
10790516,12,2012-01-01
3585344,12,2009-01-01
18304765,12,2014-01-01
8534799,12,2011-01-01
18775297,12,2014-01-01
28678119,12,2016-01-01
22107214,12,2015-01-01
8419428,12,2011-01-01
8843801,12,2011-01-01
4066312,12,2009-01-01
6781956,12,2010-01-01
39338454,12,2019-01-01
29367958,12,2016-01-01
41450662,12,2019-01-01
25564446,12,2015-01-01
23200620,12,2015-01-01
6758331,12,2010-01-01
21849362,12,2015-01-01
24035804,12,2016-01-01
7491418,12,2010-01-01
6013511,12,2009-01-01
18115061,12,2014-01-01
12716613,12,2012-01-01
25686927,12,2015-01-01
8074967,12,2011-01-01
13420351,12,2012-01-01
9065265,12,2011-01-01
11235783,12,2012-01-01
5500109,12,2009-01-01
32294951,12,2017-01-01
27252717,12,2016-01-01
21427834,12,2017-01-01
22303684,12,2017-01-01
7198269,12,2010-01-01
6950445,12,2010-01-01
8538297,12,2011-01-01
15795628,12,2013-01-01
10506237,12,2011-01-01
17876897,12,2016-01-01
5041279,12,2010-01-01
58893,13,2000-01-01
8662135,13,2012-01-01
18405537,13,2015-01-01
116567,13,2006-01-01
770614,13,1992-01-01
1128670,13,2005-01-01
2964700,13,2012-01-01
8089,13,1998-01-01
22694936,13,2016-01-01
18668056,13,2017-01-01
2808945,13,2003-01-01
11664488,13,1996-01-01
169879,13,1994-01-01
95914,13,2000-01-01
3505944,13,1998-01-01
17286817,13,2014-01-01
2085302,13,2008-01-01
28449045,13,2017-01-01
500660,13,2006-01-01
248584,13,2005-01-01
141757,13,2005-01-01
671719,13,2005-01-01
25321,13,2005-01-01
1182813,13,2001-01-01
18812101,13,1994-01-01
7179686,13,2012-01-01
3636,13,1994-01-01
24337,13,1999-01-01
28194,13,2004-01-01
2213661,13,2009-01-01
17061,13,2003-01-01
179064,13,2010-01-01
37190,13,2004-01-01
13376,13,2003-01-01
10626594,13,2012-01-01
284440,13,2008-01-01
34494,13,2004-01-01
9565548,13,2015-01-01
2855034,13,2009-01-01
46777,13,2008-01-01
183656,13,2002-01-01
34492,13,2007-01-01
13829,13,2012-01-01
9591398,13,2012-01-01
2133795,13,2009-01-01
58889,13,2000-01-01
6407514,13,2010-01-01
6472451,13,2010-01-01
266607,13,2008-01-01
213652,13,2003-01-01
153779,13,2012-01-01
9943270,13,2015-01-01
25688980,13,2017-01-01
2173611,13,2009-01-01
58890,13,2000-01-01
283494,13,2008-01-01
3817859,13,2010-01-01
12969560,13,2013-01-01
58894,13,2000-01-01
24271,13,2000-01-01
47520,13,1992-01-01
540489,13,2005-01-01
100476,13,2005-01-01
20522640,13,2015-01-01
22886868,13,2016-01-01
283022,13,1999-01-01
91836,13,2000-01-01
6419887,14,2010-01-01
1724365,14,2009-01-01
129117,14,2008-01-01
32758901,14,2018-01-01
262545,14,2007-01-01
6184241,14,2010-01-01
25036395,14,2017-01-01
12160934,14,2013-01-01
15981711,14,2014-01-01
3686,14,2005-01-01
764073,14,2003-01-01
146064,14,2006-01-01
10846336,14,2012-01-01
2906039,14,2009-01-01
2302650,14,2009-01-01
16059,14,2003-01-01
71845,14,2008-01-01
830265,14,2002-01-01
163677,14,2000-01-01
4015864,14,2010-01-01
20575425,14,2015-01-01
123534,14,2001-01-01
44179,14,2007-01-01
32671298,14,2018-01-01
21066604,14,2016-01-01
28217831,14,2017-01-01
9824,14,2005-01-01
36076501,14,2019-01-01
13556706,14,1999-01-01
24019187,14,2016-01-01
122619,14,2004-01-01
22756871,14,2016-01-01
2138727,14,2009-01-01
24097,14,2004-01-01
19161835,14,2015-01-01
15803173,14,2014-01-01
29011,14,2003-01-01
60614,14,2001-01-01
132267,14,2001-01-01
9530,14,2005-01-01
173165,14,2000-01-01
19604937,14,2015-01-01
1777371,14,2009-01-01
2241093,14,2003-01-01
6811221,14,2011-01-01
6557014,14,2009-01-01
6407014,14,2010-01-01
284295,14,2005-01-01
17262187,14,2014-01-01
18619684,14,2004-01-01
43641,14,2007-01-01
77203,14,2004-01-01
10917,14,2005-01-01
186074,14,2008-01-01
1618,14,2004-01-01
9361589,14,2012-01-01
2865,14,2001-01-01
40440,14,2007-01-01
6334,14,2006-01-01
9969571,14,2012-01-01
16793,14,2000-01-01
18007564,14,2015-01-01
31685789,14,2011-01-01
18143977,14,2015-01-01
1898,14,1998-01-01
27003,14,2003-01-01
227571,14,2002-01-01
9532,14,2000-01-01
13928,14,2001-01-01
16151178,14,2014-01-01
7445,14,2006-01-01
35133922,14,2019-01-01
2744,14,2006-01-01
4965,14,2002-01-01
1971304,14,2009-01-01
43015,14,2008-01-01
69136,14,2007-01-01
9516,14,2004-01-01
6381205,14,2010-01-01
6101718,14,2010-01-01
1869,14,2002-01-01
77773,14,1998-01-01
35959740,14,2019-01-01
12875258,14,2013-01-01
25489625,14,2016-01-01
13538873,14,2013-01-01
6545608,14,1998-01-01
18693763,14,2015-01-01
1279686,14,2008-01-01
470495,14,1998-01-01
13526165,14,2013-01-01
9279177,14,2012-01-01
32145,14,2004-01-01
77156,14,2000-01-01
14316,14,2007-01-01
25526296,14,2017-01-01
17780,14,2001-01-01
7362158,14,2011-01-01
16158596,14,2014-01-01
9680114,14,2013-01-01
13602426,14,2013-01-01
9634967,14,2012-01-01
7048800,14,2011-01-01
10058,14,2001-01-01
79109,14,1998-01-01
8646,14,2003-01-01
6633912,14,2010-01-01
462033,14,2004-01-01
113773,14,1999-01-01
36896898,14,2019-01-01
119216,14,2003-01-01
15984268,14,2014-01-01
8051458,14,2011-01-01
147993,14,2003-01-01
817791,14,2007-01-01
31450908,14,2018-01-01
109523,14,2004-01-01
1432370,14,2011-01-01
537375,14,1999-01-01
21418013,14,2015-01-01
543873,14,2008-01-01
6419887,15,2010-01-01
71869,16,1999-01-01
82553,16,2000-01-01
71863,16,1998-01-01
522686,16,1987-01-01
12941351,16,2013-01-01
2767052,16,2010-01-01
41865,16,2008-01-01
11870085,16,2013-01-01
38709,16,2001-01-01
7736182,16,2011-01-01
122,16,1996-01-01
45978,16,2006-01-01
60748,16,2005-01-01
18122,16,2002-01-01
7747374,16,2012-01-01
7996,16,1990-01-01
71865,16,1995-01-01
47624,16,2003-01-01
161099,16,1983-01-01
13829,16,2009-01-01
201341,16,1991-01-01
82434,16,2004-01-01
7983,16,1997-01-01
82436,16,1994-01-01
51070,16,1985-01-01
201342,16,1992-01-01
144791,16,2007-01-01
51069,16,1986-01-01
71869,17,1997-01-01
347698,17,2006-01-01
3486235,17,1996-01-01
298137,17,2003-01-01
5396496,17,2009-01-01
7519640,18,2013-01-01
216196,18,2007-01-01
1931915,18,2013-01-01
140260,18,2010-01-01
166562,18,2007-01-01
44184,18,2005-01-01
3250465,18,2011-01-01
6318413,18,2015-01-01
31952703,18,2020-01-01
123106,18,2011-01-01
50804,18,2007-01-01
657371,18,2012-01-01
5982447,18,2012-01-01
2696181,18,2012-01-01
6249550,18,2012-01-01
26109391,18,2018-01-01
22552026,18,2020-01-01
31409135,18,2019-01-01
30649795,18,2019-01-01
766319,18,2005-01-01
9711714,18,2014-01-01
18068100,18,2016-01-01
5347,18,2008-01-01
105703,18,2010-01-01
414146,18,2008-01-01
514771,18,2011-01-01
17302571,18,2016-01-01
841868,18,2007-01-01
25197374,18,2018-01-01
393715,18,2007-01-01
9817161,18,2005-01-01
17346698,18,2018-01-01
4507,18,2007-01-01
24187925,18,2018-01-01
35604686,18,2020-01-01
28458598,18,2019-01-01
35216509,18,2020-01-01
29010395,18,2020-01-01
3804289,18,2012-01-01
11138172,18,2016-01-01
11235712,18,2014-01-01
72441,18,2005-01-01
52560,18,2005-01-01
27426044,18,2020-01-01
10757806,18,2014-01-01
20518842,18,2017-01-01
18114594,18,2018-01-01
12027395,18,2014-01-01
22597784,18,2010-01-01
266663,18,2006-01-01
22596008,18,2011-01-01
45916638,18,2011-01-01
32441,18,2010-01-01
9692846,18,2009-01-01
20939738,18,2010-01-01
114967,18,2006-01-01
5323360,18,2012-01-01
19063,18,2010-01-01
13335037,18,2014-01-01
4667024,18,2013-01-01
128029,18,2011-01-01
28187,18,2009-01-01
12232938,18,2005-01-01
4214,18,2005-01-01
77203,18,2006-01-01
119322,18,2005-01-01
37435,18,2005-01-01
7171637,18,2013-01-01
99561,18,2009-01-01
1618,18,2006-01-01
3431,18,2008-01-01
7896527,18,2015-01-01
9361589,18,2014-01-01
10507293,18,2015-01-01
2865,18,2006-01-01
6068551,18,2012-01-01
36381037,18,2014-01-01
39280444,18,2005-01-01
6442769,18,2011-01-01
3236307,18,2011-01-01
16068905,18,2016-01-01
9969571,18,2014-01-01
4374400,18,2012-01-01
9275658,18,2014-01-01
18460392,18,2017-01-01
22232,18,2006-01-01
10576365,18,2016-01-01
31685789,18,2014-01-01
3975774,18,2011-01-01
8490112,18,2014-01-01
40873273,18,2008-01-01
6936382,18,2013-01-01
13152,18,2008-01-01
7735333,18,2013-01-01
8664353,18,2015-01-01
14866,18,2010-01-01
16096824,18,2017-01-01
16101128,18,2015-01-01
3682,18,2007-01-01
8908,18,2012-01-01
12000020,18,2016-01-01
4268157,18,2011-01-01
51738,18,2011-01-01
51737,18,2006-01-01
518848,18,2005-01-01
17675462,18,2015-01-01
27003,18,2006-01-01
25480342,18,2015-01-01
852470,18,2010-01-01
20820994,18,2016-01-01
452306,18,2007-01-01
14995,18,2006-01-01
9532,18,2005-01-01
248704,18,2009-01-01
49750,18,2010-01-01
19057,18,2009-01-01
15749186,18,2018-01-01
7445,18,2008-01-01
10194157,18,2014-01-01
6567017,18,2013-01-01
19547856,18,2017-01-01
13262783,18,2014-01-01
544891,18,2012-01-01
