id_livre,id_auteur
2464531,3406550
747746,1599723
19528,2936493
129117,4103366
2182,4637369
68333,3290920
54589,4039811
236814,173493
842746,6693411
19476,6433278
7780,6983061
18249280,7374721
109830,7124792
9888794,7267239
355656,5303332
22192,5295120
6321718,5351849
667416,2188726
233044,2747732
355789,4106087
42960,190578
9027853,3097905
10551253,7267262
4789801,266470
289813,2741432
104344,7093630
34272565,1443712
24384,6553850
38225791,15292
4907301,11664
456,7009633
24903919,7091823
366787,1383409
179612,6456912
774032,370361
25669,7170939
71622,6855918
7897478,6950740
45241,4428
7312324,1487748
389828,144323
10897866,8152069
13020,3486415
1049509,2526
72676,7105753
19580,6549373
6251471,5804715
830784,7224009
4364,357601
15046,6947727
2002,45592
9394010,4600197
12955738,4208569
1931915,1238111
24804,7074943
10402992,6916557
2141,6980508
634757,2383
40670312,2232265
32758901,3153776
48760,7380291
74046,8283255
3630983,14759054
228534,1373880
1022209,3084517
140260,21748
114172,1045593
2592122,1069006
844935,9237
6503154,2891503
8608453,190922
6687247,3036304
10048874,4619644
27397,4126827
179174,190887
53645,2903247
17204860,8108373
133380,3408349
19286603,89439
110393,49177
188454,3095893
427920,4464118
231560,13677
339210,1330292
105574,3380908
3416,669810
32703,8835
10799807,12531
9554790,1967
572692,38531
146943,20559
6100797,9550
61898,10082
6777616,1276004
78972,153733
25128811,8726
762563,8694
80672,4149342
47922,103359
22189,51518
138683,4430
159760,442240
104627,1356336
22875451,10116
61115,5251202
2420340,52468
3216451,625
6090807,234115
17305783,83937
11277218,24827
13316328,40173
146108,1080585
13642963,59060
15799936,2687
7101,10333
561402,48397
292275,241301
228128,28946
343738,2898479
92846,477469
13516487,45315
10283764,49103
170548,20561
74862,4861
35519101,18454
7103,38066
22191,2503028
14707,7742
162314,2357
43684,18879
23912,1654
9553,17059
104790,32637
438923,7577
2606779,20602
672965,346732
590324,16218
10978,1857564
936611,1429808
256280,167605
518982,48206
26480,9558
6514074,3849415
54028,17054
36253,375626
2330877,40563
9527985,26930
19596,5339
6586456,17061
35465,479779
10571,6988
8241088,29011
96428,10003
3321397,9388
560929,54493
354284,15882
344199,8730
59821,93220
6219294,10015
128109,814940
761849,3509
4333469,837804
1199174,925098
42929,14577
564325,784775
7284118,1612
9260806,3490
1928405,72039
257962,6583
854456,994873
6569211,2546
5936327,473145
7380006,63983
62812,3534
8999892,978703
263919,1130453
3127326,800019
7057397,4738
11175530,24689
6460814,9212
10138089,1439
3044630,221559
62976,6429
12072969,138825
5805956,389474
9766063,2121
12889647,972440
971239,10746
12093000,13370
960495,690619
6131767,3505
8602864,97313
17157183,25052
13497142,66631
13616989,33274
6287286,1899600
9637428,120401
13504041,12581
15706108,2849
13248799,1406384
1413068,211268
16029550,3670
13416711,982213
17155673,15872
15826651,287960
15719561,498072
16520900,4143266
17210533,588558
786699,203238
16149498,4866520
1442235,3420702
13498352,6587108
13144813,4668167
17406952,3980637
549237,47104
17339738,3190428
17949078,7233168
3263334,3101315
18008226,837420
17354744,4506073
18158535,4086928
17334077,3095919
7013431,4382157
18229453,5434809
17190226,4838933
18193486,628636
18171014,4665585
1212610,65959
17296121,3275
18397548,569
18136883,4984399
29661618,6535659
166562,1077176
18620524,4805272
10014677,5752652
13645896,26638
18086498,3351454
636223,23613
18813386,4372391
12914448,4849669
18593863,4116333
18602977,4503081
17586834,281810
18042290,599916
18815695,5437976
15739817,4660036
43212281,569269
21936661,55743
21878763,6887314
21457083,3961
22312293,12803
18530194,6984726
1414,14151
22616552,12732
22008448,20493
23277468,15085
22918893,56328
22456474,6238
