id,saga_name
18088594,The Dufus Diaries 
25581147,Die Elfen 
536622,
66677,
12384984,
9219901,
19307225,
15766776,
20460436,
20903622,
17669067,Shadowdance 
18667307,æ±äº¬å°ç¨® / Tokyo Ghoul 
297898,Greywalker 
22524731,
21894650,Day Human Trilogy 
22324795,Painted Faces 
18811324,Islands at the End of the World 
42988,
23742469,
20935107,Come Back to Me 
22739190,
18244599,
119832,Hazelwood High 
25027140,
6684540,
112518,Rama 
783291,
25365530,
13623874,
25481803,Abuse 
25053346,
25668970,
17801134,
22841551,
28800321,
28091259,
17657206,Behind Blue Eyes 
23266378,The Next Together 
32284715,Covenant of Shadows 
13115538,
18586621,Until the End of the World 
31367949,Storm and Silence 
15790894,Paradox 
33644223,The Flames Trilogy 
29952526,The Flames Trilogy 
32797060,The Austens 
24611819,The Peripheral 
26597596,San Diego K-9 Unit 
34213608,
29923707,Three Dark Crowns 
31144992,
29202269,The Starlight Chronicles 
18077875,
35003240,
33893388,Reign of Secrets 
23688121,Reign of Secrets 
38339351,
35297469,
32956365,
43191510,
18941670,Exit  Unicorns 
43181675,Deep World Saga 
29093292,
41728904,
26255907,The Spinster Club 
5956935,
3359010,
50633870,
43848929,
37769577,
130346,
45294613,
446279,
807044,
80268,
209690,Fault Lines 
22469,
214888,
5409442,
6262518,
683927,
138558,
5988458,
347339,
80492,
7932,
15100,
588723,Chocolate War 
16743,
459901,Atherton 
5269911,
317293,Colshannon 
271487,
276967,
6377319,
3107,
6566722,Nikki Heat 
7776678,Nikki Heat 
205821,Caddie Woodlawn 
10639954,Shelby Nichols 
9722241,
10869001,
2416991,
867356,
3191898,
11717230,
1569097,
2942523,The Acts of Caine 
865516,
6309229,
12885,
320200,
781653,
7543231,
8550813,
12162274,
7740772,
8485458,Warriors: Omen of the Stars 
10552088,Peter and the Starcatchers 
555500,Peter and the Starcatchers 
975885,
6851,
403101,Ishmael 
7351574,The Twilight Saga: The Official Illustrated Movie Companion 
7606431,
11753084,The Widow Makers 
16114675,Blackfeather 
13603792,The Emperor's Edge 
13044650,The Emperor's Edge 
11672438,The Emperor's Edge 
96908,
5444895,
21278,Hank Thompson 
12591698,The Expanse 
3664164,Flynn Laukonen 
158479,
33016249,Good Night Stories for Rebel Girls 
3629971,Cicero 
683406,Ishmael Leseur 
15782604,Patronus 
16075834,Tribesman 
15980313,Finding Ava 
