id_genre,id_auteur
37,7353006
37,7246482
37,7944475
37,6567825
37,5752145
37,7012713
37,10811406
37,644355
37,8152045
37,10315278
37,8167946
37,9809333
37,8628046
37,6439440
32,8171797
5,125308
37,8039839
29,6894322
32,13695109
37,5625945
37,13505420
2,6521131
5,4480131
2,8109273
2,7191170
2,7496678
2,7072888
37,4330590
2,7258437
2,7139136
5,4882127
40,7335383
2,515767
2,6540645
58,7122060
2,6519108
5,2803627
37,7168230
5,7031278
5,131208
5,8695
5,81017
5,121825
5,41942
5,22548
37,114266
37,93971
37,27621
37,55943
37,363405
1,12940
1,5672
1,48557
1,99044
6,99044
1,22339
5,22339
1,8734
29,8734
1,123715
1,48913
1,14473
5,14473
5,8719
647,8719
1,4610
5,1873
9,1873
1,16927
5,2887
1,1402383
1,7622
5,7622
1,8258
5,369288
5,5091
6,721
1,9559
40,9559
5,854076
29,854076
5,4952
1,2749
1,10289
5,12605
31,12605
37,410418
5,361963
37,361963
37,79922
37,432859
37,2983974
37,65189
72,65189
5,4859212
37,11672
5,3452783
5,11291
5,17595
5,1462
1,4470653
5,49625
5,6485178
27,4385839
5,1895943
9,2940640
1,1063732
5,8988
2,28550
2,5769764
2,3190846
79,153732
2,40881
37,2096360
2,1310735
2,1395810
32,1395810
5,1831
5,17623
29,17623
213,17623
9,3034502
45,3034502
45,12793
5,233619
5,3953
5,4462369
45,1401
5,1388082
118,1388082
29,5031312
120,5031312
5,4339
9,4339
120,7625163
5,3510
5,3489
37,2812835
2,696372
5,696372
37,3165706
37,2916205
45,2916205
9,5151
5,4108184
493,41878
2,4831558
27,1280953
5,6942
9,6942
32,1111602
37,170658
37,4340281
2,3379575
27,3379575
2,5416410
2,7181038
37,2156112
37,5158465
2,6473923
2,5286855
2,7033774
2,4971535
2,4418815
37,5234997
37,5934418
2,4946788
37,4946788
37,5784345
37,5626443
37,94091
119,106453
37,1307342
72,1307342
37,1463436
37,145926
5,2936539
6,2936539
5,41542
32,41542
37,192549
32,386042
37,1628012
5,16
29,7902
72,7902
647,7902
5,86404
2,6492
5,1413437
74,1413437
2,7949493
2,3427995
2,5822839
5,12667
37,6453983
2,5622888
58,5622888
5,4730894
5,5309857
37,6534462
5,36615
5,5274234
5,155717
1,218843
5,9720
7,1353301
37,93970
5,5768905
37,330967
37,5444795
37,4948810
37,5145808
37,5188888
1,4027380
5,173491
5,45922
9,45922
5,13591
41,18235662
5,374590
5,978484
37,3095878
45,3095878
37,3200239
37,19954
37,3105432
1,146628
37,4025590
37,4416438
37,3508354
45,3508354
37,3100203
45,3100203
37,4124788
45,4124788
37,3111339
37,3429117
37,4445700
5,99836
37,28756
45,28756
37,777173
37,4902564
2,1294984
2,6435350
2,5398028
2,20983
58,20983
5,2741079
2,306449
2,6422281
2,7056140
58,5214793
2,6459302
2,2882485
32,2882485
2,5228869
37,5228869
2,5421050
2,6446604
2,2704714
58,5130089
2,5174152
37,882738
5,20842
118,20842
5,8794
32,3249026
37,4611175
2,17293
2,7941
37,7941
58,317354
5,1916427
5,83308
5,3167424
37,6475976
5,5804792
2,6654493
5,6644044
5,3112212
2,6521173
2,6860574
5,25376
32,25376
5,56353
5,25883
5,1100593
5,8389735
5,25375
5,221253
7,221253
5,51204
45,160069
7,3396842
45,3396842
32,7177350
5,1956402
5,33773
5,33919
45,33919
5,2768002
32,2768002
5,33918
72,33918
5,5780686
32,5780686
45,5780686
5,27167
5,27276
5,3365457
5,5599
5,26335
7,106463
5,598299
95,2040815
9,9678
5,11121
5,8622
5,29527
221,29527
5,2885224
7,90070
5,7628
1,3163298
1,364872
5,364872
5,29471
40,29471
5,22506
5,46118
5,290189
5,53574
37,4044383
37,1005935
45,1005935
37,2274221
37,4118351
5,51118
37,3387285
37,3505204
37,3111338
45,3111338
37,14113824
37,8588143
37,13615246
37,15194090
37,8436117
37,13987227
37,5354687
45,5354687
37,14155920
37,1080169
37,14852052
45,14852052
37,8512303
