id_user,id_auteur
207,18770494
207,24689
208,11682
208,18770578
208,18770568
208,18770557
208,13022
208,18770467
209,3389
212,15872
212,18770579
212,18770495
213,566
213,622
214,24689
214,18770455
214,1025097
214,18770454
214,18770495
215,24689
216,1077326
216,3389
216,18770455
218,18770453
219,18770580
219,40416
219,18770581
219,18770489
220,3389
220,18770454
221,3389
222,190922
223,18770582
223,18770583
223,18770584
224,24689
224,18770455
225,5430144
225,18770585
226,18770569
226,630
226,18770489
227,18770467
227,4750
227,18770557
227,18770586
228,18770587
229,18770573
230,12470
230,72887
230,22339
231,18770588
231,18770480
231,72887
231,706255
231,18770558
231,18770589
231,3467563
231,3389
231,18770569
231,18770590
232,7059361
233,18770480
233,18770558
233,18770535
233,18770527
234,123715
234,566
235,18770565
235,72887
235,36346
236,18770494
237,18770592
237,630
237,18770489
237,18770593
238,3317
241,24689
241,18770594
241,18770595
242,33031
242,22339
243,4512899
243,18770449
243,18770464
244,18770478
244,18770596
246,566
246,183332
246,18770597
247,18770480
247,18770598
247,5618190
247,18770599
248,5791
249,18770490
250,1265
250,18770600
250,327983
251,17054
251,1730
252,18770573
252,4750
253,18770573
254,18770483
254,18770601
255,1858
255,18770602
255,3389
255,18770558
255,815
256,18770573
256,18770603
256,18770553
257,4841825
257,183332
257,18770453
